Time of Day,Process Name,PID,Operation,Path,Result,Detail
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_MSIL,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\policy.4.0.System.Drawing,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\policy.4.0.System.Drawing,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\policy.4.0.System.Drawing,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\policy.4.0.System.Drawing,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\System.Drawing\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.Drawing.INI,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\System.Drawing\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.Drawing.INI,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Drawing\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.Drawing.INI,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Drawing\v4.0_4.0.0.0__b03f5f7f11d50a3a\System.Drawing.INI,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_64,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC_64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_64\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_64\policy.4.0.System.Xml.Linq,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC_64\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\GAC_64\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_ARM64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_ARM64,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC_ARM64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\GAC_ARM64,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_32,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_32,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC_32,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_32\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_32\policy.4.0.System.Xml.Linq,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC_32\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\GAC_32\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_MSIL,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\GAC\policy.4.0.System.Xml.Linq,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\GAC\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\GAC\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_64,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_64\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_64\policy.4.0.System.Xml.Linq,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_64\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC_64\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_ARM64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_ARM64,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_ARM64,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC_ARM64,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_32,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_32,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_32,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_32\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_32\policy.4.0.System.Xml.Linq,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_32\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC_32\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_MSIL,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\policy.4.0.System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\Microsoft.NET\assembly\GAC,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq\,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq\,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq\,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq\,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml.Linq,NAME NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\System.Xml.Linq\v4.0_4.0.0.0__b77a5c561934e089\System.Xml.Linq.INI,FAST IO DISALLOWED,
14:23.4,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\vfs\Windows\Microsoft.Net\assembly\GAC_MSIL\System.Xml.Linq\v4.0_4.0.0.0__b77a5c561934e089\System.Xml.Linq.INI,PATH NOT FOUND,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
14:23.4,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Xml.Linq\v4.0_4.0.0.0__b77a5c561934e089\System.Xml.Linq.INI,FAST IO DISALLOWED,
